Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results
what is a dirty chai tea latte,Informational,1000,"0.45,0.45,0.81,0.81,1.00,0.55,0.62,0.81,0.55,0.55,0.55,0.62",25,0.08,0.01,3080000
chai tea boba,Informational,880,"1.00,0.25,0.30,0.56,0.77,0.56,1.00,0.68,0.68,0.68,0.68,0.68",25,0.41,0.09,7400000
chai tea latte calories,Informational,880,"0.46,0.37,0.76,0.68,1.00,0.54,0.68,1.00,0.54,0.68,0.54,0.54",20,1.18,0.01,11600000
does chai tea latte have coffee,Informational,880,"0.24,0.08,0.36,0.62,0.62,1.00,0.81,0.81,0.45,0.45,0.55,0.30",24,0.00,0.00,27300000
how much caffeine chai tea latte,Informational,880,"0.30,0.05,1.00,1.00,0.34,0.05,0.05,0.06,0.10,0.16,0.09,0.34",20,6.88,0.00,7770000
how much caffeine is in a chai tea latte,Informational,880,"0.45,0.55,0.76,0.76,0.36,0.67,0.67,0.76,0.67,1.00,0.76,0.67",23,6.88,0.00,8360000
how to make chai tea concentrate,Informational,880,"0.45,0.30,0.67,1.00,1.00,1.00,0.45,0.55,0.55,0.55,0.55,0.55",19,0.00,0.03,3720000
best chai tea bags,Commercial,720,"0.30,0.36,0.30,0.55,0.55,1.00,0.81,0.81,0.36,0.30,0.30,0.30",21,0.30,1.00,21400000
bigelow vanilla chai tea,"Informational, Transactional",720,"0.30,0.30,0.45,1.00,0.67,0.55,0.76,0.76,0.45,0.24,0.36,0.30",23,0.49,1.00,100
blue lotus chai tea,Commercial,720,"0.16,0.24,0.16,0.81,0.36,0.13,0.55,0.30,0.55,1.00,0.55,0.62",25,0.39,1.00,68
chai and vanilla tea,Commercial,720,"0.00,0.00,0.00,0.20,0.30,0.16,0.54,0.00,0.79,1.00,0.66,0.79",20,0.58,1.00,17900000
chai green tea,Transactional,720,"0.48,0.72,0.72,0.88,0.88,1.00,0.88,0.39,0.88,0.88,0.32,0.32",18,0.71,1.00,83000000
chai tea flavor,Informational,720,"0.39,0.48,0.72,1.00,1.00,0.88,0.72,0.72,0.59,0.39,0.72,0.59",20,0.42,0.60,19300000
chai tea k cups,Transactional,720,"0.24,0.36,0.45,0.67,0.45,0.76,1.00,0.45,0.67,0.45,0.45,0.30",15,0.27,1.00,13300000
chai tea mix,Informational,720,"0.37,0.44,0.56,0.56,0.77,0.77,1.00,0.68,0.56,0.68,0.44,0.44",20,0.58,1.00,26200000
chamba chai tea,Transactional,720,"0.88,0.47,0.59,0.39,1.00,0.39,0.59,0.88,0.72,0.88,0.88,0.88",25,1.34,1.00,
dunkin chai tea latte,Informational,720,"0.10,0.13,0.16,0.10,0.20,0.16,0.30,0.10,1.00,0.34,0.04,0.04",27,0.32,0.02,2220000
how do you make a starbucks chai tea latte,Informational,720,"0.37,0.30,0.68,0.37,0.56,0.25,0.68,0.12,1.00,1.00,0.44,0.68",25,0.43,0.01,5440000
iced chai tea latte recipe,Informational,720,"0.72,1.00,0.88,0.72,0.72,0.59,0.59,0.72,0.48,0.72,0.88,0.88",24,0.15,0.01,13300000
is chai tea latte fattening,Informational,720,"0.36,0.30,0.55,0.30,0.55,0.24,0.45,0.13,1.00,1.00,1.00,0.67",16,0.00,0.00,11300000
is there caffeine in chai tea latte,Informational,720,"0.39,0.59,0.59,1.00,0.72,0.59,0.72,1.00,0.72,1.00,0.72,0.59",26,0.00,0.00,7800000
oregon chai tea,Commercial,720,"0.60,0.60,0.71,0.88,0.88,1.00,0.71,0.88,0.60,0.38,0.48,0.48",16,0.36,1.00,1830000
pumpkin spice chai tea latte starbucks,Informational,720,"0.02,0.09,1.00,0.80,0.80,0.30,0.09,0.09,0.05,0.05,0.02,0.02",26,0.00,0.02,1640000
rishi chai tea,Transactional,720,"0.48,0.39,0.73,0.16,0.58,0.89,0.89,1.00,0.89,0.89,1.00,1.00",26,0.69,1.00,356000
twinings chai tea,Transactional,720,"0.30,0.45,0.67,0.67,0.76,0.76,0.67,1.00,0.67,0.67,0.45,0.36",20,0.25,1.00,916000
best chai tea concentrate,Commercial,590,"1.00,0.72,0.48,0.59,0.48,1.00,0.88,0.72,0.59,0.48,0.59,0.48",25,0.68,1.00,3620000
best masala chai tea,Commercial,590,"0.55,0.45,0.36,0.20,0.62,0.55,1.00,0.24,0.10,0.45,0.13,0.16",16,0.44,1.00,10500000
caffeine in chai tea latte,Informational,590,"0.24,0.32,0.32,0.73,0.59,0.88,0.88,0.39,1.00,0.88,0.88,0.88",27,2.86,0.07,8030000
chai tea bag,"Informational, Transactional",590,"0.08,0.30,0.36,0.24,0.20,1.00,0.62,1.00,0.13,0.24,0.20,1.00",19,0.56,1.00,37900000
chai tea coffee,Informational,590,"0.45,0.45,0.45,0.54,0.54,0.67,0.67,0.67,1.00,0.54,0.82,0.30",28,0.85,0.74,31100000
chai tea latte concentrate,Transactional,590,"0.24,1.00,0.62,0.24,0.30,0.45,0.36,0.30,0.20,0.30,0.24,0.16",21,0.55,1.00,1990000
chai tea meme,Informational,590,"0.05,0.04,0.08,0.25,0.16,0.20,0.25,0.46,0.46,0.68,0.68,1.00",25,0.00,0.00,66
chai tea tea tea,"Informational, Commercial",590,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00",28,0.59,0.90,152000000
concentrate chai tea,Transactional,590,"0.86,0.00,0.00,0.86,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",22,0.53,1.00,3980000
david rio chai tea,Transactional,590,"0.36,0.44,0.67,0.81,0.81,0.81,0.81,0.81,1.00,0.81,1.00,0.81",18,0.48,1.00,973000
does the chai tea latte from starbucks have caffeine,Informational,590,"0.24,0.24,0.55,0.36,0.45,0.20,0.45,0.13,1.00,1.00,1.00,0.67",22,1.65,0.00,3330000
how to make chai latte with tea bag,Informational,590,"0.36,0.29,0.44,0.81,0.67,0.81,0.54,1.00,0.81,1.00,0.44,0.44",17,0.20,0.01,9010000
kashmiri chai tea,Informational,590,"0.72,0.59,0.72,0.47,0.47,1.00,0.59,0.32,0.13,0.08,0.11,0.17",20,0.70,0.59,1790000
nespresso chai tea pods,"Informational, Commercial",590,"0.24,0.30,0.36,0.45,0.45,0.67,1.00,0.67,0.16,0.30,0.20,0.20",27,0.35,0.91,74
starbucks chai tea latte nutrition facts,"Informational, Transactional",590,"0.80,0.54,0.80,0.67,0.54,1.00,0.80,0.43,0.80,0.80,1.00,0.80",27,0.95,0.10,80
tazo chai tea bags,"Informational, Transactional",590,"0.39,0.48,1.00,0.88,0.72,0.59,0.59,1.00,0.59,0.48,0.32,0.39",27,0.24,1.00,292000
whats a chai tea,Informational,590,"0.07,0.05,0.03,0.07,0.04,0.04,0.08,0.11,0.05,0.82,1.00,0.65",25,0.29,0.01,72000000
bhakti chai tea,Transactional,480,"0.54,0.67,0.67,0.54,0.67,0.54,0.54,0.67,0.54,1.00,0.36,0.67",28,0.43,1.00,175000
bolthouse chai tea,Transactional,480,"0.66,0.81,1.00,0.81,0.81,0.81,0.66,0.81,0.81,1.00,0.66,0.81",24,0.62,0.97,96
bolthouse vanilla chai tea,"Informational, Transactional",480,"0.82,0.82,1.00,0.54,0.24,0.67,0.82,0.67,1.00,0.36,0.82,0.54",27,0.59,1.00,68600
chai boba tea,Informational,480,"0.25,1.00,1.00,0.31,0.15,0.13,0.13,0.60,0.38,0.60,0.71,0.48",18,0.41,0.09,6720000
chai tea keurig cups,"Informational, Transactional",480,"0.21,0.32,0.48,1.00,0.48,0.48,0.72,0.59,0.59,0.48,0.39,0.32",16,0.27,1.00,7600000
chai tea latte dunkin donuts,Informational,480,"0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,1.00,0.00,0.00,0.00",28,0.32,0.02,1380000
chai tea latte have caffeine,Informational,480,"0.15,0.54,0.54,0.66,0.81,0.81,0.81,0.66,0.54,1.00,0.66,0.66",22,0.00,0.00,7920000
chai tea latte k cups,Transactional,480,"0.15,0.15,0.15,0.19,0.19,0.24,1.00,0.67,0.67,0.76,0.37,0.44",17,0.54,1.00,5840000
chai tea latte nutrition,Informational,480,"0.55,0.67,0.55,0.30,0.55,0.55,0.82,0.55,0.67,1.00,0.44,0.55",18,1.18,0.01,8490000
chai tea latte nutrition facts,Informational,480,"0.45,0.67,0.30,0.67,0.54,0.82,0.54,0.54,0.82,1.00,0.24,0.54",21,1.18,0.01,99
chai tea syrup,Informational,480,"0.20,0.20,0.30,0.30,0.30,1.00,0.45,0.55,0.20,0.20,0.16,0.16",16,0.34,1.00,18000000
chai tea tazo,"Informational, Transactional",480,"0.15,0.15,0.67,0.76,1.00,0.44,0.13,0.09,0.09,0.13,0.07,0.13",28,0.32,1.00,622000
chai tea trader joe's,Commercial,480,"0.73,0.73,1.00,0.48,0.73,0.32,1.00,0.16,0.08,0.00,0.06,0.08",28,0.53,0.93,63
chai vs tea,Informational,480,"0.54,0.81,0.66,0.54,0.66,0.66,1.00,0.54,0.44,0.44,0.54,0.44",27,0.00,0.00,99500000
does chai tea has caffeine,Informational,480,"0.00,0.00,1.00,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03",27,0.11,0.00,13100000
dunkin doughnuts chai tea,"Informational, Commercial",480,"0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,1.00,0.00,0.00,0.00",24,0.32,0.02,968000
pronounce chai tea,Informational,480,"0.65,0.82,0.55,0.65,1.00,0.15,0.55,0.24,0.36,1.00,0.82,0.36",25,0.00,0.00,84
pumpkin chai tea starbucks,Informational,480,"0.05,0.10,1.00,0.81,0.55,0.45,0.30,0.06,0.10,0.04,0.05,0.05",28,0.00,0.03,2990000
rishi tea masala chai,Transactional,480,"0.00,0.02,0.01,0.00,1.00,0.00,0.00,0.02,0.01,0.00,0.01,0.01",27,0.69,1.00,151000
spiced chai tea,Commercial,480,"0.53,0.43,0.53,0.80,0.80,1.00,0.67,1.00,0.80,0.80,0.43,0.80",20,0.59,1.00,8000000
spiced chai tea recipe,Informational,480,"0.26,0.32,0.39,0.48,0.72,1.00,0.88,0.48,0.48,0.32,0.39,0.39",27,0.00,0.03,5430000
trader joe's chai tea,Transactional,480,"0.24,0.36,0.36,0.30,0.45,1.00,0.20,0.20,0.01,0.01,0.01,0.30",21,0.53,0.93,76
assam tea for chai,Commercial,390,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,1.00,0.66,0.16",16,0.00,0.34,3300000
black chai tea,Transactional,390,"0.29,0.44,0.44,0.44,0.54,0.67,0.19,1.00,0.67,0.54,0.15,0.44",25,0.73,1.00,73200000
bolthouse farms chai tea,Transactional,390,"0.66,0.66,1.00,0.54,0.81,0.81,0.66,0.81,0.66,0.66,0.66,0.81",23,0.62,0.97,58900
can you have chai tea when pregnant,Informational,390,"0.29,0.66,1.00,1.00,0.81,1.00,1.00,1.00,0.54,1.00,0.81,0.54",16,0.00,0.00,94
chai assam tea,"Informational, Transactional",390,"0.01,0.01,0.52,0.46,1.00,0.13,0.00,0.02,0.02,0.00,0.03,0.02",19,0.00,0.85,3330000
chai tea brands,Commercial,390,"0.35,0.54,0.54,0.81,0.54,1.00,0.81,1.00,0.81,0.54,0.66,0.81",20,0.91,1.00,18200000
chai tea caffeine vs coffee,"Informational, Commercial",390,"0.15,0.15,0.19,0.29,0.23,1.00,1.00,1.00,0.66,0.66,0.81,0.54",20,0.00,0.00,11000000
chai tea cocktail,Informational,390,"0.29,0.36,0.53,0.67,1.00,1.00,1.00,0.67,0.53,0.44,0.36,0.36",22,0.00,0.01,20200000
chai tea cupcakes,Informational,390,"0.21,0.17,0.32,0.72,1.00,0.59,0.39,0.26,0.17,0.21,0.11,0.17",27,0.00,0.00,3960000
chai tea latte nutrition info,Informational,390,"0.00,0.00,0.00,0.44,0.56,0.30,0.68,0.12,1.00,0.00,0.00,0.00",16,1.18,0.01,2620000
chai tea latte nutritional value,Informational,390,"0.00,0.00,0.00,0.44,0.56,0.30,0.68,0.12,1.00,0.00,0.00,0.00",15,1.18,0.01,670000
chai tea mixture,Informational,390,"0.36,0.36,0.54,0.44,0.81,0.44,1.00,0.19,0.36,0.23,0.15,0.67",18,0.59,1.00,23400000
chai tea with vanilla,Informational,390,"0.08,0.00,0.00,1.00,0.13,0.03,0.11,0.00,0.03,0.03,0.03,0.44",18,0.73,1.00,79900000
chai twinings tea,Commercial,390,"0.36,0.36,0.54,0.36,0.67,0.36,1.00,0.19,0.81,0.23,0.15,0.67",24,0.25,1.00,543000
cold chai tea latte recipe,Informational,390,"0.72,0.88,1.00,0.26,0.14,0.07,0.26,0.17,0.32,0.32,0.14,0.26",27,0.55,0.01,13300000
costco chai tea,Transactional,390,"0.66,0.54,0.81,1.00,1.00,1.00,1.00,1.00,1.00,0.81,0.66,0.81",29,0.00,0.99,84
nutrition facts chai tea,Informational,390,"0.54,0.54,0.81,0.66,1.00,0.34,0.81,0.28,0.54,1.00,0.81,1.00",26,0.00,0.01,1460000
nutrition facts for chai tea latte at starbucks,"Informational, Transactional",390,"1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",21,0.95,0.10,73800
nutrition facts for starbucks chai tea latte,Informational,390,"1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",20,0.95,0.10,152000
nutritional value of starbucks chai tea latte,Informational,390,"1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",15,0.95,0.10,4320000
oregon chai chai tea latte,"Informational, Transactional",390,"0.43,0.54,0.81,1.00,1.00,1.00,1.00,0.67,0.81,1.00,1.00,0.81",16,0.28,1.00,317000
rishi chai tea concentrate,"Informational, Transactional",390,"0.12,0.81,0.54,1.00,0.44,0.44,0.44,0.29,0.44,0.44,0.23,0.44",20,0.45,1.00,47500
skinny tazo chai tea latte,Informational,390,"0.48,0.72,1.00,0.59,0.72,0.26,0.26,0.01,0.09,0.21,0.14,0.59",27,0.24,1.00,26800
starbucks chai tea latte cost,Informational,390,"0.67,0.45,0.16,0.13,0.13,0.30,1.00,0.10,0.16,0.08,0.08,0.03",26,0.64,0.05,1650000
starbucks chai tea latte nutrition info,"Informational, Transactional",390,"1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",24,0.95,0.10,1300000
starbucks chai tea recipe,Informational,390,"0.44,0.44,0.66,1.00,0.66,1.00,0.81,1.00,0.81,0.81,0.66,0.54",19,0.00,0.00,9480000
syrup chai tea,Informational,390,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.81,0.81,1.00,0.62",20,0.42,1.00,11900000
tazo 32 fl. oz. chai tea latte 1:1 concentrate,Commercial,390,"0.00,0.00,0.10,1.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00",19,0.00,0.00,98
tazo chai tea ingredients,Informational,390,"0.05,0.07,0.08,0.08,0.30,1.00,0.04,0.03,0.02,0.01,0.05,0.02",24,0.21,0.68,259000
tazo chai tea latte skinny,"Informational, Transactional",390,"0.48,0.72,1.00,0.59,0.72,0.26,0.26,0.01,0.17,0.26,0.14,0.26",27,0.24,1.00,26800
tazo skinny chai tea latte,Informational,390,"0.66,1.00,0.36,0.81,1.00,0.36,0.44,0.36,0.15,0.12,0.19,0.36",23,0.24,1.00,27000
twinings of london chai tea,Commercial,390,"0.19,0.29,0.66,0.54,0.66,0.54,1.00,0.81,1.00,0.36,0.15,0.36",23,0.22,1.00,244000
atkins chai tea latte,"Navigational, Transactional",320,"0.62,0.77,0.54,0.38,0.54,0.38,0.38,1.00,0.23,0.08,0.15,0.62",29,0.27,1.00,73
big train spiced chai tea latte nearby colorado springs,Transactional,320,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",19,0.00,0.00,14
caffeine chai tea,Informational,320,"0.15,0.35,0.28,0.28,0.67,0.35,0.67,0.43,0.00,1.00,0.04,0.00",25,0.54,0.11,14900000
caffeine content chai tea latte,Informational,320,"0.29,0.29,0.44,0.44,0.54,0.54,0.36,1.00,0.29,0.04,0.19,0.44",20,1.63,0.00,1150000
calories in chai tea,Informational,320,"0.29,0.29,0.29,0.29,0.54,0.36,0.29,0.54,1.00,1.00,0.81,0.66",29,0.00,0.01,23300000
calories in chai tea latte,Informational,320,"0.67,0.67,0.82,0.82,0.67,0.67,0.82,1.00,0.67,0.82,0.82,0.82",20,0.70,0.02,10400000
calories in starbucks chai tea latte,Informational,320,"1.00,0.05,0.03,0.04,0.03,0.05,0.07,0.07,0.11,0.20,0.08,0.04",22,0.95,0.10,83
chai bubble tea,Informational,320,"1.00,0.81,0.66,1.00,0.35,0.66,0.66,0.54,0.66,0.66,0.81,0.66",18,0.00,0.08,13600000
chai chai tea,"Informational, Commercial",320,"0.06,0.02,0.02,0.15,0.13,1.00,0.00,0.31,0.00,0.00,0.00,0.00",21,0.49,0.94,80000000
chai latte tea for keurig,"Informational, Transactional",320,"0.36,0.29,0.36,0.36,0.36,0.23,1.00,0.19,0.29,0.23,0.15,0.36",23,0.40,1.00,364000
chai tea bubble tea,Commercial,320,"0.66,0.81,1.00,0.66,0.22,0.66,0.66,1.00,0.54,0.81,0.43,0.81",26,0.00,0.07,13300000
chai tea capsules for nespresso,Commercial,320,"0.53,0.53,0.80,0.67,1.00,0.67,0.53,0.00,0.18,0.18,0.00,0.00",17,0.40,1.00,97
chai tea latte caffeine content,Informational,320,"0.43,0.43,0.54,0.66,0.66,0.81,0.81,1.00,1.00,0.54,0.81,0.54",21,1.63,0.00,5390000
chai tea latte keurig,"Informational, Transactional",320,"0.36,0.29,0.29,0.44,0.29,0.44,1.00,0.67,0.23,0.29,0.36,0.29",18,0.40,1.00,294000
chai tea mix recipe,Informational,320,"0.28,0.23,0.36,0.54,0.67,1.00,1.00,0.67,0.44,0.36,0.23,0.23",22,0.14,0.05,33700000
chai tea nespresso capsules,Transactional,320,"0.53,0.53,0.80,0.67,1.00,0.18,0.67,0.00,0.53,0.44,0.00,0.00",16,0.40,1.00,181000
chai tea pods,Transactional,320,"0.54,0.43,0.54,0.54,0.81,1.00,1.00,1.00,0.54,0.54,0.43,0.43",15,0.39,1.00,3470000
chai tea pods for keurig,"Informational, Transactional",320,"0.55,0.55,0.35,0.67,0.82,0.82,0.82,1.00,0.67,0.82,0.67,0.82",20,0.28,1.00,176000
chai tea protein shake,Informational,320,"0.81,0.67,1.00,1.00,0.81,1.00,0.67,1.00,0.81,0.81,1.00,0.67",20,2.10,1.00,5630000
chai tea spider verse,Commercial,320,"0.15,0.15,0.15,0.44,0.36,0.36,0.54,0.36,0.44,0.44,1.00,0.29",24,0.00,0.00,89
chai tea spiderverse,Commercial,320,"0.15,0.11,0.15,0.43,0.35,0.35,0.54,0.54,0.54,0.67,1.00,0.67",29,0.00,0.00,40100
chai tea taste,"Informational, Commercial",320,"0.35,0.43,0.66,0.81,0.66,0.81,0.66,0.54,0.54,1.00,0.54,0.43",17,0.00,0.01,28100000
chai tea te,Commercial,320,"0.26,0.89,1.00,0.21,0.39,0.00,0.00,0.00,0.00,0.00,0.58,0.89",24,0.00,0.11,12000000
do chai tea lattes have caffeine,Informational,320,"0.13,0.04,0.20,0.20,0.03,0.13,0.13,0.13,0.13,0.16,1.00,0.55",23,0.00,0.00,2380000
does a chai tea latte have caffeine,Informational,320,"0.71,0.43,0.71,0.71,0.29,0.57,0.57,0.57,0.57,1.00,0.57,0.57",20,0.54,0.00,8050000
does chai tea make you poop,Informational,320,"0.35,0.54,0.66,0.81,0.66,0.81,0.66,1.00,0.66,1.00,1.00,0.81",28,0.00,0.00,55
green tea chai,"Informational, Transactional",320,"0.29,0.36,0.23,0.36,0.66,0.44,0.36,0.81,0.29,0.36,1.00,0.23",17,0.70,1.00,40600000
healthy chai tea latte,Informational,320,"0.35,0.81,1.00,0.67,0.67,0.54,0.43,0.81,0.54,0.54,0.35,0.35",24,0.83,1.00,12900000
how many calories in chai tea,Informational,320,"0.82,0.66,0.66,1.00,1.00,0.82,0.82,1.00,0.43,0.82,0.53,0.66",26,0.00,0.00,43600000
how much caffeine is in chai tea vs coffee,"Informational, Commercial",320,"0.35,0.43,0.54,0.67,0.67,0.67,0.81,1.00,0.81,1.00,1.00,0.67",19,0.00,0.00,12900000
how to make an iced chai tea latte,Informational,320,"1.00,1.00,0.80,0.80,0.80,0.55,0.35,0.80,0.65,0.65,0.65,0.80",28,0.08,0.02,17600000
keurig chai tea pods,"Informational, Transactional",320,"0.67,0.35,0.55,0.82,0.82,0.82,0.82,1.00,0.67,1.00,0.67,0.67",21,0.30,1.00,83
nespresso capsules chai tea,Commercial,320,"0.32,0.32,0.48,0.39,0.59,0.39,1.00,0.00,0.32,0.26,0.00,0.00",17,0.35,0.91,244000
tazo organic chai tea,"Informational, Transactional",320,"0.43,0.54,0.43,1.00,0.66,0.66,0.81,0.66,0.66,0.66,0.54,0.66",18,0.42,1.00,228000
tea vs chai,Informational,320,"0.66,1.00,0.81,0.81,0.81,0.81,1.00,0.66,0.66,0.66,0.81,0.43",24,0.00,0.00,99500000
teavana chai tea,"Informational, Transactional",320,"0.54,0.44,0.54,1.00,1.00,0.54,0.67,0.81,0.67,0.54,0.44,0.67",17,0.34,1.00,83
what does a chai tea latte taste like,Informational,320,"0.28,1.00,0.36,0.44,0.81,0.54,0.81,0.44,0.11,0.44,0.23,0.07",20,0.00,0.00,12300000
best chai tea brand,Commercial,260,"0.11,0.11,0.14,0.21,0.21,0.39,1.00,0.26,0.21,0.21,0.17,0.17",24,0.46,1.00,
best chai tea latte near me,Transactional,260,"1.00,0.54,0.67,0.43,0.54,0.35,0.43,0.35,0.54,0.22,0.28,0.67",26,0.00,0.04,67
big train spiced chai tea,"Informational, Transactional",260,"0.35,0.35,0.28,1.00,0.23,0.44,0.44,0.44,0.44,0.54,0.35,0.54",17,0.45,1.00,371000
bigelow chai tea,"Informational, Transactional",260,"0.35,0.42,0.53,0.82,0.82,1.00,1.00,0.82,0.82,0.67,0.53,0.53",15,0.20,1.00,94
black scottie chai tea,Commercial,260,"0.43,0.54,0.66,0.43,0.54,0.54,0.81,0.81,0.22,0.54,0.29,1.00",18,2.39,1.00,73
bubble tea chai,Informational,260,"1.00,0.81,1.00,0.65,0.81,0.34,0.65,0.53,0.81,0.34,0.43,1.00",19,0.00,0.08,15800000
cafe escapes chai tea latte,"Informational, Transactional",260,"0.34,0.28,0.54,0.54,0.28,0.28,1.00,1.00,0.43,0.54,0.34,0.54",23,0.42,1.00,333000
caffeine in a chai tea latte,Informational,260,"0.82,1.00,0.04,0.12,0.07,0.36,0.09,0.07,0.01,0.07,0.04,0.04",22,2.86,0.07,7840000
can you drink chai tea during pregnancy,Informational,260,"0.29,0.36,1.00,0.36,0.44,0.29,0.36,0.23,0.15,0.36,0.15,0.12",15,0.00,0.00,2280000
chai latte recipe with tea bag,Informational,260,"0.35,0.43,0.66,1.00,1.00,0.82,0.82,0.82,0.66,0.43,0.43,0.43",19,0.00,0.01,7060000
chai spice tea,Informational,260,"0.36,0.44,0.56,0.67,1.00,0.67,0.67,0.44,0.28,0.56,0.44,0.56",18,0.44,1.00,24700000
chai tea bags tazo,"Informational, Transactional",260,"0.22,0.54,0.81,1.00,0.66,0.29,0.54,0.81,0.43,0.22,0.22,0.66",19,0.24,1.00,207000
chai tea black,Transactional,260,"0.07,0.09,0.07,0.09,0.11,0.17,0.17,0.59,0.88,1.00,0.14,0.72",21,0.95,0.30,52100000
chai tea caffeinated,"Informational, Commercial",260,"0.10,0.12,0.15,1.00,0.36,0.29,0.23,0.19,0.29,0.44,0.23,0.29",19,0.54,0.11,15800000
chai tea ice cream,Informational,260,"0.29,0.35,0.29,0.35,0.22,1.00,0.81,1.00,0.54,0.54,0.81,0.81",20,1.19,0.43,31200000
chai tea keurig pods,"Informational, Transactional",260,"0.43,0.36,0.53,0.43,0.81,0.81,1.00,1.00,0.67,0.81,0.81,0.67",18,0.28,1.00,94
chai tea latte has caffeine,Informational,260,"0.15,0.23,0.19,0.44,0.23,0.29,0.54,0.23,0.66,1.00,0.19,0.44",29,0.00,0.00,8050000
chai tea latte nutrition information,Informational,260,"0.13,0.13,0.04,0.13,0.45,0.06,0.55,0.10,0.06,0.05,1.00,0.81",18,0.70,0.02,2080000
